dataset_key,dataset_label,lang,measure,n_real,n_random,real_mean,random_mean,ks_statistic,p_value,p_value_display
matched_random,Matched random structures,ar,mean_dep_distance,1074,1074,0.5667350211344627,1.1941466406550203,0.4553072625698324,1.0106279307853469e-100,1.011e-100
matched_random,Matched random structures,es,mean_dep_distance,2141,2141,0.766393096238964,1.2465403349569624,0.36104624007473146,2.2059754946994875e-124,2.206e-124
matched_random,Matched random structures,fi,mean_dep_distance,7258,7258,0.7823037633350357,1.2122839822068283,0.31482502066685036,3.35672e-318,3.357e-318
matched_random,Matched random structures,hi,mean_dep_distance,2380,2380,1.19983226623983,1.6184020274776574,0.28781512605042014,2.978901969293036e-87,2.979e-87
matched_random,Matched random structures,ja,mean_dep_distance,1693,1693,0.8692850579885422,1.3399586532782026,0.3733018310691081,2.2318918571573566e-105,2.232e-105
matched_random,Matched random structures,tr,mean_dep_distance,2457,2457,0.7345769456880561,1.0059703083512603,0.18884818884818885,1.0571323133891697e-38,1.057e-38
matched_random,Matched random structures,zh,mean_dep_distance,588,588,1.2520050480509648,1.7192824748947202,0.3333333333333333,2.5257765010139714e-29,2.526e-29
matched_random,Matched random structures,ar,mean_intervener_complexity,1074,1074,1.129553516006029,1.4230077443764586,0.4143389199255121,6.332832267921986e-83,6.333e-83
matched_random,Matched random structures,es,mean_intervener_complexity,2141,2141,1.082874046395762,1.4546080677327748,0.5324614666043904,4.1978704578954514e-278,4.198e-278
matched_random,Matched random structures,fi,mean_intervener_complexity,7258,7258,1.1339604464914512,1.4336255669715252,0.40231468724166436,0.0,<1e-300
matched_random,Matched random structures,hi,mean_intervener_complexity,2380,2380,1.2910105708950281,1.6303117913832206,0.41008403361344536,1.929439134676951e-179,1.929e-179
matched_random,Matched random structures,ja,mean_intervener_complexity,1693,1693,1.110952896614442,1.4910033377398988,0.5298287064382753,1.0760516536615225e-217,1.076e-217
matched_random,Matched random structures,tr,mean_intervener_complexity,2457,2457,1.1814207544366246,1.3334294306516528,0.18111518111518113,1.2937298787592598e-35,1.294e-35
matched_random,Matched random structures,zh,mean_intervener_complexity,588,588,1.2891379170715918,1.6824209048698842,0.45918367346938777,2.730458397243142e-56,2.730e-56
matched_random,Matched random structures,ar,tree_depth,1074,1074,4.015828677839851,4.292364990689013,0.11638733705772812,9.361617522413299e-07,9.362e-07
matched_random,Matched random structures,es,tree_depth,2141,2141,3.44978981784213,4.427837459131247,0.3615133115366651,1.0352571103769807e-124,1.035e-124
matched_random,Matched random structures,fi,tree_depth,7258,7258,3.5158445852852025,4.322265086800772,0.2581978506475613,5.992912620296723e-213,5.993e-213
matched_random,Matched random structures,hi,tree_depth,2380,2380,3.641596638655462,5.139075630252101,0.5478991596638656,0.0,<1e-300
matched_random,Matched random structures,ja,tree_depth,1693,1693,3.4997046662728883,4.609568812758417,0.39988186650915536,2.5925708087742155e-121,2.593e-121
matched_random,Matched random structures,tr,tree_depth,2457,2457,3.376068376068376,3.9051689051689054,0.16687016687016687,2.8489240792615897e-30,2.849e-30
matched_random,Matched random structures,zh,tree_depth,588,588,3.95578231292517,5.3231292517006805,0.54421768707483,3.040222778358143e-80,3.040e-80
matched_random,Matched random structures,ar,tree_density,1074,1074,0.4417619262591336,0.45573609868302567,0.14059590316573556,1.1341792221550693e-09,1.134e-09
matched_random,Matched random structures,es,tree_density,2141,2141,0.3407912745931678,0.4645209686779058,0.4801494628678188,7.7055437031575895e-224,7.706e-224
matched_random,Matched random structures,fi,tree_density,7258,7258,0.35695912174777616,0.4630684079705849,0.37158996968861946,0.0,<1e-300
matched_random,Matched random structures,hi,tree_density,2380,2380,0.34972328383567913,0.4884625213721847,0.5626050420168067,0.0,<1e-300
matched_random,Matched random structures,ja,tree_density,1693,1693,0.3498861329035743,0.4722706561011359,0.48316597755463675,2.084801402744127e-179,2.085e-179
matched_random,Matched random structures,tr,tree_density,2457,2457,0.3725367388137644,0.4464317575428709,0.288970288970289,8.566022739129393e-91,8.566e-91
matched_random,Matched random structures,zh,tree_density,588,588,0.3757940351465276,0.4950766165051879,0.4965986394557823,3.185057928413212e-66,3.185e-66
matched_random,Matched random structures,ar,max_arity,1074,1074,2.2951582867783986,2.4664804469273744,0.06052141527001862,0.0391121183577969,3.911e-02
matched_random,Matched random structures,es,max_arity,2141,2141,2.9318075665576835,2.4722092480149462,0.23493694535263895,3.2246786055660295e-52,3.225e-52
matched_random,Matched random structures,fi,max_arity,7258,7258,3.0828051804904932,2.4645907963626343,0.2612289887021218,4.998259888297292e-218,4.998e-218
matched_random,Matched random structures,hi,max_arity,2380,2380,4.01890756302521,2.8563025210084034,0.4852941176470588,2.1996250718574305e-254,2.200e-254
matched_random,Matched random structures,ja,max_arity,1693,1693,3.2528056704075605,2.61193148257531,0.24217365623154163,5.76528650119955e-44,5.765e-44
matched_random,Matched random structures,tr,max_arity,2457,2457,2.5392755392755393,2.2401302401302403,0.14326414326414327,2.132874390222551e-22,2.133e-22
matched_random,Matched random structures,zh,max_arity,588,588,3.675170068027211,2.92687074829932,0.3282312925170068,1.9824106782989585e-28,1.982e-28
matched_random,Matched random structures,ar,avg_arity,1074,1074,0.8496039807492316,0.8496039807492316,0.0,1.0,1.000e+00
matched_random,Matched random structures,es,avg_arity,2141,2141,0.8560642961273643,0.8560642961273643,0.0,1.0,1.000e+00
matched_random,Matched random structures,fi,avg_arity,7258,7258,0.8541221022173011,0.8541221022173011,0.0,1.0,1.000e+00
matched_random,Matched random structures,hi,avg_arity,2380,2380,0.894188144954976,0.894188144954976,0.0,1.0,1.000e+00
